Gene	Num_sgRNAs	RRA_Score_Neg	PValue_Neg	FDR_Neg	Rank_Neg	neg|goodsgrna	LFC_Neg	RRA_Score_Pos	PValue_Pos	FDR_Pos	Rank_Pos	pos|goodsgrna	LFC_Pos	FDR	Direction	logFC	RRA_Score	Significance
ENG	12	2.5041e-10	4.9494e-06	0.000553	1	12	-1.4911	1.0	1.0	0.999995	894	0	-1.4911	0.000553	depleted	-1.4911	2.5041e-10	significant
ANGPT2	12	5.08e-09	4.9494e-06	0.000553	2	12	-1.2656	1.0	1.0	0.999995	893	0	-1.2656	0.000553	depleted	-1.2656	5.08e-09	significant
NRP2	12	1.7787e-08	4.9494e-06	0.000553	3	12	-1.0363	1.0	1.0	0.999995	892	0	-1.0363	0.000553	depleted	-1.0363	1.7787e-08	significant
TIE1	12	2.5062e-08	4.9494e-06	0.000553	4	12	-1.0817	1.0	1.0	0.999995	891	0	-1.0817	0.000553	depleted	-1.0817	2.5062e-08	significant
FLT4	12	6.744e-08	4.9494e-06	0.000553	5	12	-1.0294	1.0	1.0	0.999995	890	0	-1.0294	0.000553	depleted	-1.0294	6.744e-08	significant
ITGB5	6	3.3709e-07	4.9494e-06	0.000553	6	6	-1.9202	1.0	1.0	0.999995	889	0	-1.9202	0.000553	depleted	-1.9202	3.3709e-07	significant
CD34	6	5.6272e-07	4.9494e-06	0.000553	7	6	-1.6619	1.0	1.0	0.999995	888	0	-1.6619	0.000553	depleted	-1.6619	5.6272e-07	significant
THY1	6	7.1745e-07	4.9494e-06	0.000553	8	6	-2.1595	1.0	1.0	0.999995	880	0	-2.1595	0.000553	depleted	-2.1595	7.1745e-07	significant
ANGPT1	12	1.7764e-06	1.4848e-05	0.000699	9	11	-1.0571	1.0	1.0	0.999995	885	0	-1.0571	0.000699	depleted	-1.0571	1.7764e-06	significant
FLT1	6	1.8152e-06	1.4848e-05	0.000699	10	6	-1.8868	0.99998	1.0	0.999995	861	0	-1.8868	0.000699	depleted	-1.8868	1.8152e-06	significant
CDH5	6	1.8221e-06	1.4848e-05	0.000699	11	6	-1.71	1.0	1.0	0.999995	887	0	-1.71	0.000699	depleted	-1.71	1.8221e-06	significant
PECAM1	6	2.355e-06	1.4848e-05	0.000699	12	6	-2.043	1.0	1.0	0.999995	886	0	-2.043	0.000699	depleted	-2.043	2.355e-06	significant
EDN1	6	3.5392e-06	1.4848e-05	0.000699	13	6	-1.7742	1.0	1.0	0.999995	884	0	-1.7742	0.000699	depleted	-1.7742	3.5392e-06	significant
ITGAV	6	3.5392e-06	1.4848e-05	0.000699	14	6	-1.5065	1.0	1.0	0.999995	883	0	-1.5065	0.000699	depleted	-1.5065	3.5392e-06	significant
SELL	6	3.6292e-06	1.4848e-05	0.000699	15	6	-1.6889	1.0	1.0	0.999995	882	0	-1.6889	0.000699	depleted	-1.6889	3.6292e-06	significant
MCAM	6	4.2096e-06	1.4848e-05	0.000699	16	6	-1.5508	1.0	1.0	0.999995	881	0	-1.5508	0.000699	depleted	-1.5508	4.2096e-06	significant
KDR	6	4.2403e-06	1.4848e-05	0.000699	17	6	-1.9162	0.99985	0.99984	0.999995	815	0	-1.9162	0.000699	depleted	-1.9162	4.2403e-06	significant
EDNRA	6	4.6379e-06	1.4848e-05	0.000699	18	6	-1.5487	1.0	1.0	0.999995	879	0	-1.5487	0.000699	depleted	-1.5487	4.6379e-06	significant
ITGB3	6	5.0221e-06	1.4848e-05	0.000699	19	6	-1.4916	0.99999	1.0	0.999995	878	0	-1.4916	0.000699	depleted	-1.4916	5.0221e-06	significant
CALCRL	6	5.3482e-06	2.4747e-05	0.000851	20	6	-1.3884	0.99999	1.0	0.999995	877	0	-1.3884	0.000851	depleted	-1.3884	5.3482e-06	significant
