id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
ANGPT2	12	1.3155e-10	4.9494e-06	0.000402	1	12	-1.3521	1.0	1.0	0.999995	894	0	-1.3521
NRP2	12	1.0188e-09	4.9494e-06	0.000402	2	12	-1.2957	1.0	1.0	0.999995	893	0	-1.2957
TIE1	12	2.0958e-09	4.9494e-06	0.000402	3	12	-1.2176	1.0	1.0	0.999995	892	0	-1.2176
ANGPT1	12	7.2837e-09	4.9494e-06	0.000402	4	12	-1.234	1.0	1.0	0.999995	891	0	-1.234
FLT4	12	1.7464e-08	4.9494e-06	0.000402	5	12	-1.1422	1.0	1.0	0.999995	890	0	-1.1422
NOTCH4	6	1.0922e-07	4.9494e-06	0.000402	6	6	-1.5661	1.0	1.0	0.999995	889	0	-1.5661
SOX17	6	1.5801e-07	4.9494e-06	0.000402	7	6	-2.0706	0.99998	1.0	0.999995	864	0	-2.0706
PODXL	6	6.0228e-07	4.9494e-06	0.000402	8	6	-1.7332	1.0	1.0	0.999995	888	0	-1.7332
HGF	6	9.1313e-07	4.9494e-06	0.000402	9	6	-1.8314	0.99994	0.99995	0.999995	830	0	-1.8314
VEGFC	6	9.2974e-07	4.9494e-06	0.000402	10	6	-1.5388	1.0	1.0	0.999995	887	0	-1.5388
RAMP2	6	9.897e-07	4.9494e-06	0.000402	11	6	-1.5379	1.0	1.0	0.999995	886	0	-1.5379
DLL4	6	1.5657e-06	1.4848e-05	0.000781	12	6	-1.6189	1.0	1.0	0.999995	885	0	-1.6189
EGFR	6	1.9511e-06	1.4848e-05	0.000781	13	6	-1.8714	0.99999	1.0	0.999995	879	0	-1.8714
TEK	6	2.0743e-06	1.4848e-05	0.000781	14	6	-1.5388	1.0	1.0	0.999995	884	0	-1.5388
PSMC1	6	2.3975e-06	1.4848e-05	0.000781	15	6	-1.5075	1.0	1.0	0.999995	883	0	-1.5075
CD248	6	2.6666e-06	1.4848e-05	0.000781	16	6	-1.3587	1.0	1.0	0.999995	882	0	-1.3587
IGF1R	6	4.9432e-06	1.4848e-05	0.000781	17	6	-1.4649	1.0	1.0	0.999995	881	0	-1.4649
VEGFA	6	6.3372e-06	2.4747e-05	0.001006	18	6	-1.4538	0.99999	1.0	0.999995	880	0	-1.4538
VEGFA2	6	7.0425e-06	2.4747e-05	0.001006	19	6	-1.2575	0.99999	1.0	0.999995	878	0	-1.2575
LYVE1	6	7.1484e-06	2.4747e-05	0.001006	20	6	-1.2764	0.99999	1.0	0.999995	877	0	-1.2764
EGF	6	7.6874e-06	2.4747e-05	0.001006	21	6	-1.6407	0.99996	0.99998	0.999995	845	0	-1.6407
ERG	6	7.698e-06	2.4747e-05	0.001006	22	6	-1.1781	0.99999	1.0	0.999995	876	0	-1.1781
NR2F2	6	7.9275e-06	3.4646e-05	0.001291	23	6	-1.649	0.99999	1.0	0.999995	875	0	-1.649
EFNB2	6	8.4036e-06	3.4646e-05	0.001291	24	6	-1.2698	0.99999	1.0	0.999995	874	0	-1.2698
