id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
SRC	6	5.681e-09	4.9219e-06	0.000233	1	6	-1.8829	1.0	1.0	0.999995	899	0	-1.8829
STAT5A	6	1.9705e-08	4.9219e-06	0.000233	2	6	-1.782	0.99998	0.99999	0.999995	869	0	-1.782
JAK2	6	2.8738e-08	4.9219e-06	0.000233	3	6	-1.7907	1.0	1.0	0.999995	898	0	-1.7907
YES1	6	1.0284e-07	4.9219e-06	0.000233	4	6	-1.9033	1.0	1.0	0.999995	897	0	-1.9033
PAK1	6	2.5052e-07	4.9219e-06	0.000233	5	6	-1.7837	1.0	1.0	0.999995	886	0	-1.7837
TYK2	6	3.5916e-07	4.9219e-06	0.000233	6	6	-1.8641	1.0	1.0	0.999995	896	0	-1.8641
CFL1	6	3.9589e-07	4.9219e-06	0.000233	7	6	-1.7509	1.0	1.0	0.999995	895	0	-1.7509
LYN	6	4.1539e-07	4.9219e-06	0.000233	8	6	-1.8217	1.0	1.0	0.999995	894	0	-1.8217
EGFR	6	4.7878e-07	4.9219e-06	0.000233	9	6	-1.8095	1.0	1.0	0.999995	893	0	-1.8095
JAK1	6	5.1338e-07	4.9219e-06	0.000233	10	6	-1.7151	1.0	1.0	0.999995	892	0	-1.7151
ERBB2	6	5.7566e-07	4.9219e-06	0.000233	11	6	-1.8394	1.0	1.0	0.999995	891	0	-1.8394
LIMK1	6	7.677e-07	4.9219e-06	0.000233	12	6	-1.8367	1.0	1.0	0.999995	890	0	-1.8367
RHOA	6	8.7283e-07	4.9219e-06	0.000233	13	6	-1.7314	1.0	1.0	0.999995	889	0	-1.7314
ROCK1	6	1.0529e-06	4.9219e-06	0.000233	14	6	-1.5951	1.0	1.0	0.999995	888	0	-1.5951
MET	6	1.0968e-06	4.9219e-06	0.000233	15	6	-1.7912	1.0	1.0	0.999995	887	0	-1.7912
FGFR1	6	1.1068e-06	4.9219e-06	0.000233	16	6	-1.7942	0.99997	0.99998	0.999995	859	0	-1.7942
FYN	6	1.3139e-06	4.9219e-06	0.000233	17	6	-1.6142	1.0	1.0	0.999995	885	0	-1.6142
IGF1R	6	1.5359e-06	4.9219e-06	0.000233	18	6	-1.7751	1.0	1.0	0.999995	884	0	-1.7751
RAC1	6	2.2718e-06	4.9219e-06	0.000233	19	6	-1.8206	1.0	1.0	0.999995	883	0	-1.8206
STAT1	6	2.6201e-06	1.4766e-05	0.000531	20	6	-1.6903	1.0	1.0	0.999995	882	0	-1.6903
INSR	6	4.0084e-06	1.4766e-05	0.000531	21	6	-1.7877	0.99999	0.99999	0.999995	874	0	-1.7877
FGFR2	6	5.0221e-06	1.4766e-05	0.000531	22	6	-1.619	0.99999	1.0	0.999995	881	0	-1.619
PDGFRA	6	5.6041e-06	1.4766e-05	0.000531	23	6	-1.7512	0.99999	1.0	0.999995	880	0	-1.7512
LOR	6	6.6319e-06	1.4766e-05	0.000531	24	6	-1.4244	0.99999	1.0	0.999995	879	0	-1.4244
KIT	6	6.7326e-06	1.4766e-05	0.000531	25	6	-1.6	0.99999	1.0	0.999995	878	0	-1.6
RPL3	6	8.5263e-06	2.4609e-05	0.000819	26	6	-1.3593	0.99999	1.0	0.999995	877	0	-1.3593
ABL1	6	9.3827e-06	2.4609e-05	0.000819	27	6	-1.7536	0.99998	0.99998	0.999995	860	0	-1.7536
VASP	6	9.5625e-06	3.4453e-05	0.001106	28	6	-1.809	0.99999	1.0	0.999995	876	0	-1.809
KRT17	6	1.1789e-05	4.4297e-05	0.001373	29	6	-1.5458	0.99999	0.99999	0.999995	875	0	-1.5458
POLR2A	6	1.3321e-05	5.4141e-05	0.00157	30	6	-1.4257	0.99999	0.99999	0.999995	873	0	-1.4257
RPL4	6	1.3867e-05	5.4141e-05	0.00157	31	6	-1.3842	0.99999	0.99999	0.999995	872	0	-1.3842
IRF6	6	1.5016e-05	6.3985e-05	0.001643	32	6	-1.3876	0.99998	0.99999	0.999995	871	0	-1.3876
KRT1	6	1.5214e-05	6.3985e-05	0.001643	33	6	-1.3102	0.99998	0.99999	0.999995	870	0	-1.3102
CDC42	6	1.6724e-05	6.3985e-05	0.001643	34	6	-1.6148	0.99995	0.99995	0.999995	844	0	-1.6148
CDSN	6	1.7105e-05	6.3985e-05	0.001643	35	6	-1.4038	0.99998	0.99999	0.999995	868	0	-1.4038
ERBB3	6	1.9432e-05	7.3828e-05	0.001794	36	6	-1.6805	0.99998	0.99999	0.999995	867	0	-1.6805
KLK11	6	1.9678e-05	7.3828e-05	0.001794	37	6	-1.3839	0.99998	0.99999	0.999995	866	0	-1.3839
KRT6	6	2.0179e-05	8.3672e-05	0.001929	38	6	-1.3959	0.99998	0.99999	0.999995	865	0	-1.3959
DSC3	6	2.095e-05	8.3672e-05	0.001929	39	6	-1.3946	0.99998	0.99999	0.999995	864	0	-1.3946
PSMB1	6	2.2016e-05	0.00010336	0.002212	40	6	-1.3809	0.99998	0.99999	0.999995	863	0	-1.3809
