Gene	Num_sgRNAs	RRA_Score_Neg	PValue_Neg	FDR_Neg	Rank_Neg	neg|goodsgrna	LFC_Neg	RRA_Score_Pos	PValue_Pos	FDR_Pos	Rank_Pos	pos|goodsgrna	LFC_Pos	FDR	Direction	logFC	RRA_Score	Significance
HGF	6	1.239e-08	4.9164e-06	0.000553	1	6	-1.7733	1.0	1.0	0.999995	900	0	-1.7733	0.000553	depleted	-1.7733	1.239e-08	significant
HBEGF	6	2.2105e-07	4.9164e-06	0.000553	2	6	-1.6737	1.0	1.0	0.999995	899	0	-1.6737	0.000553	depleted	-1.6737	2.2105e-07	significant
TIE1	6	2.3929e-07	4.9164e-06	0.000553	3	6	-1.5614	1.0	1.0	0.999995	898	0	-1.5614	0.000553	depleted	-1.5614	2.3929e-07	significant
IGFBP5	6	3.0942e-07	4.9164e-06	0.000553	4	6	-1.6992	1.0	1.0	0.999995	897	0	-1.6992	0.000553	depleted	-1.6992	3.0942e-07	significant
PDGFB	6	3.2531e-07	4.9164e-06	0.000553	5	6	-1.6141	1.0	1.0	0.999995	896	0	-1.6141	0.000553	depleted	-1.6141	3.2531e-07	significant
ANGPT1	6	3.4189e-07	4.9164e-06	0.000553	6	6	-1.5517	1.0	1.0	0.999995	895	0	-1.5517	0.000553	depleted	-1.5517	3.4189e-07	significant
EGFR	6	7.8445e-07	4.9164e-06	0.000553	7	6	-1.7465	1.0	1.0	0.999995	894	0	-1.7465	0.000553	depleted	-1.7465	7.8445e-07	significant
TEK	6	8.015e-07	4.9164e-06	0.000553	8	6	-1.5261	1.0	1.0	0.999995	893	0	-1.5261	0.000553	depleted	-1.5261	8.015e-07	significant
COL5A1	6	1.5065e-06	1.4749e-05	0.000885	9	6	-1.3184	1.0	1.0	0.999995	892	0	-1.3184	0.000885	depleted	-1.3184	1.5065e-06	significant
IGF2	6	2.4846e-06	1.4749e-05	0.000885	10	6	-1.6317	1.0	1.0	0.999995	891	0	-1.6317	0.000885	depleted	-1.6317	2.4846e-06	significant
VCAN	6	3.2806e-06	1.4749e-05	0.000885	11	6	-1.448	1.0	1.0	0.999995	890	0	-1.448	0.000885	depleted	-1.448	3.2806e-06	significant
NRP1	6	3.4512e-06	1.4749e-05	0.000885	12	6	-1.6486	1.0	1.0	0.999995	889	0	-1.6486	0.000885	depleted	-1.6486	3.4512e-06	significant
FGF7	6	4.0743e-06	1.4749e-05	0.000885	13	6	-1.6173	1.0	1.0	0.999995	888	0	-1.6173	0.000885	depleted	-1.6173	4.0743e-06	significant
PSMD1	6	4.4913e-06	1.4749e-05	0.000885	14	6	-1.2666	1.0	1.0	0.999995	887	0	-1.2666	0.000885	depleted	-1.2666	4.4913e-06	significant
EGF	6	4.5641e-06	1.4749e-05	0.000885	15	6	-1.5437	1.0	1.0	0.999995	886	0	-1.5437	0.000885	depleted	-1.5437	4.5641e-06	significant
PRELP	6	5.8703e-06	2.4582e-05	0.001301	16	6	-1.2262	0.99999	1.0	0.999995	885	0	-1.2262	0.001301	depleted	-1.2262	5.8703e-06	significant
UBA1	6	6.5324e-06	2.4582e-05	0.001301	17	6	-1.4087	0.99999	1.0	0.999995	884	0	-1.4087	0.001301	depleted	-1.4087	6.5324e-06	significant
VEGFC	6	9.1545e-06	4.4248e-05	0.002096	18	6	-1.7657	0.99999	1.0	0.999995	883	0	-1.7657	0.002096	depleted	-1.7657	9.1545e-06	significant
KDR	6	1.1628e-05	4.4248e-05	0.002096	19	6	-1.6057	0.99999	1.0	0.999995	882	0	-1.6057	0.002096	depleted	-1.6057	1.1628e-05	significant
FLT1	6	1.3867e-05	5.4081e-05	0.002434	20	6	-1.3144	0.99999	1.0	0.999995	881	0	-1.3144	0.002434	depleted	-1.3144	1.3867e-05	significant
VEGFB	6	1.7777e-05	6.3913e-05	0.002501	21	6	-1.6191	0.99998	1.0	0.999995	880	0	-1.6191	0.002501	depleted	-1.6191	1.7777e-05	significant
HIF1A	6	1.8149e-05	6.3913e-05	0.002501	22	5	-1.7916	0.99759	0.99733	0.999995	806	0	-1.7916	0.002501	depleted	-1.7916	1.8149e-05	significant
NRP2	6	1.8238e-05	6.3913e-05	0.002501	23	6	-1.5321	0.99998	1.0	0.999995	879	0	-1.5321	0.002501	depleted	-1.5321	1.8238e-05	significant
COL9A1	6	1.8947e-05	7.3746e-05	0.002655	24	6	-1.103	0.99998	1.0	0.999995	878	0	-1.103	0.002655	depleted	-1.103	1.8947e-05	significant
POSTN	6	1.9432e-05	7.3746e-05	0.002655	25	6	-1.1935	0.99998	1.0	0.999995	877	0	-1.1935	0.002655	depleted	-1.1935	1.9432e-05	significant
COL8A1	6	2.0691e-05	8.3579e-05	0.002712	26	6	-1.3842	0.99998	1.0	0.999995	876	0	-1.3842	0.002712	depleted	-1.3842	2.0691e-05	significant
HSP90AA1	6	2.229e-05	9.3412e-05	0.002712	27	6	-1.381	0.99998	1.0	0.999995	875	0	-1.381	0.002712	depleted	-1.381	2.229e-05	significant
FGF2	6	2.2845e-05	9.3412e-05	0.002712	28	6	-1.2465	0.99998	1.0	0.999995	874	0	-1.2465	0.002712	depleted	-1.2465	2.2845e-05	significant
PDGFC	6	2.3127e-05	9.3412e-05	0.002712	29	6	-1.7449	0.99998	1.0	0.999995	873	0	-1.7449	0.002712	depleted	-1.7449	2.3127e-05	significant
PSMA2	6	2.3412e-05	9.3412e-05	0.002712	30	6	-1.3191	0.99998	1.0	0.999995	872	0	-1.3191	0.002712	depleted	-1.3191	2.3412e-05	significant
ENO1	6	2.37e-05	9.3412e-05	0.002712	31	6	-1.4872	0.99998	1.0	0.999995	871	0	-1.4872	0.002712	depleted	-1.4872	2.37e-05	significant
VEGFA	6	2.5799e-05	0.00010324	0.002751	32	6	-1.3487	0.99997	0.99999	0.999995	870	0	-1.3487	0.002751	depleted	-1.3487	2.5799e-05	significant
GAPDH	6	2.7066e-05	0.00010324	0.002751	33	6	-1.3455	0.99997	0.99999	0.999995	869	0	-1.3455	0.002751	depleted	-1.3455	2.7066e-05	significant
HAPLN1	6	3.0822e-05	0.00011308	0.002751	34	6	-1.0808	0.99997	0.99999	0.999995	868	0	-1.0808	0.002751	depleted	-1.0808	3.0822e-05	significant
FGF10	6	3.229e-05	0.00011308	0.002751	35	6	-1.2004	0.99997	0.99999	0.999995	867	0	-1.2004	0.002751	depleted	-1.2004	3.229e-05	significant
PSMB1	6	3.3817e-05	0.00011308	0.002751	36	6	-1.2019	0.99997	0.99999	0.999995	866	0	-1.2019	0.002751	depleted	-1.2019	3.3817e-05	significant
COL3A2	6	3.4603e-05	0.00011308	0.002751	37	6	-1.2067	0.99997	0.99999	0.999995	865	0	-1.2067	0.002751	depleted	-1.2067	3.4603e-05	significant
TUBA1A	6	3.5001e-05	0.00012291	0.002836	38	6	-1.2771	0.99996	0.99999	0.999995	864	0	-1.2771	0.002836	depleted	-1.2771	3.5001e-05	significant
IGFBP3	6	3.5404e-05	0.00012291	0.002836	39	6	-1.1701	0.99996	0.99999	0.999995	863	0	-1.1701	0.002836	depleted	-1.1701	3.5404e-05	significant
FGFR1	6	3.8329e-05	0.00013274	0.002987	40	6	-1.3882	0.99996	0.99998	0.999995	862	0	-1.3882	0.002987	depleted	-1.3882	3.8329e-05	significant
PDGFD	6	4.2751e-05	0.00016224	0.003477	41	6	-1.4666	0.99994	0.99995	0.999995	853	0	-1.4666	0.003477	depleted	-1.4666	4.2751e-05	significant
PSMC1	6	4.3813e-05	0.00016224	0.003477	42	6	-1.3477	0.99996	0.99998	0.999995	861	0	-1.3477	0.003477	depleted	-1.3477	4.3813e-05	significant
FGF9	6	4.7303e-05	0.00017207	0.003595	43	6	-1.2512	0.99995	0.99998	0.999995	860	0	-1.2512	0.003595	depleted	-1.2512	4.7303e-05	significant
FGFR2	6	4.8868e-05	0.00018191	0.003595	44	6	-1.4506	0.99995	0.99997	0.999995	859	0	-1.4506	0.003595	depleted	-1.4506	4.8868e-05	significant
COL7A1	6	4.9935e-05	0.00019174	0.003595	45	6	-1.2248	0.99995	0.99996	0.999995	858	0	-1.2248	0.003595	depleted	-1.2248	4.9935e-05	significant
